  Course   CHEF         WAITER       ST1        ST2        ST3        ST4        ST5        ST6        ST7
     2      DIP          ATS         ETM        CWC        CWC        ETM        ETM        ETM        ETM
     2      DIP          ATS         ETM        ETM        CWC        ETM        ETM        ETM        ETM
     2      DIP          ATS         ETM        ETM        ETM        ETM        ETM        ETM        ETM
     2      DIP          ATS         ETM        ETM        ETM        ETM        ETM        CWC        ETM
     2      DIP          ATS         CWC        ETM        ETM        ETM        ETM        CWC        ETM
     2      DIP          ATS         CWC        ETM        ETM        ETM        CWC        CWC        ETM
     2      DIP          ATS         CWC        ETM        ETM        ETM        CWC        CWC        CWC
     2      DIP          ATS         CWC        ETM        ETM        CWC        CWC        CWC        CWC
     2      DIP          ATS         CWC        CWC        ETM        CWC        CWC        CWC        CWC
     2      DIP          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      PTC          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      PTC          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DLP          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     3      DIP          WFP         CWC        CWC        CWC        CWC        CWC        ETM        CWC
     3      DIP          WFP         CWC        CWC        ETM        CWC        CWC        ETM        CWC
     3      CTS          ATS         CWC        CWC        ETM        ETM        CWC        ETM        CWC
     3      CTS          ATS         CWC        ETM        ETM        ETM        CWC        ETM        CWC
     3      CTS          ATS         CWC        ETM        ETM        ETM        CWC        ETM        ETM
     3      CTS          ATS         CWC        ETM        ETM        ETM        ETM        ETM        ETM
     3      CTS          ATS         ETM        ETM        ETM        ETM        ETM        ETM        ETM
     3      CTS          ATS         ETM        ETM        ETM        ETM        ETM        CWC        ETM
     3      CTS          ATS         ETM        ETM        CWC        ETM        ETM        CWC        ETM
     3      CTS          ATS         ETM        ETM        CWC        CWC        ETM        CWC        ETM
     3      CTS          ATS         ETM        CWC        CWC        CWC        ETM        CWC        ETM
     3      CTS          ATS         ETM        CWC        CWC        CWC        ETM        CWC        CWC
     3      CTS          ATS         ETM        CWC        CWC        CWC        CWC        CWC        CWC
     3      CTS          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     0      CTS          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     0      CTS          ATS         CWC        CWC        CWC        PTB        CWC        CWC        CWC
     0      CTS          PTB         CWC        CWC        CWC        PTB        CWC        CWC        CWC
     0      CTS          RTP         CWC        CWC        CWC        PTB        CWC        CWC        CWC
     0      CTS          ATS         CWC        CWC        CWC        PTB        CWC        CWC        CWC
     0      CTS          ATS         CWC        CWC        CWC        PTB        CWC        SGH        CWC
     0      CTS          ATS         SGH        CWC        CWC        PTB        CWC        SGH        CWC
     0      CTS          ATS         SGH        CWC        CWC        PTB        SGH        SGH        CWC
     0      CTS          ATS         SGH        CWC        CWC        PTB        SGH        SGH        SGH
     0      CTS          ATS         SGH        SGH        CWC        PTB        SGH        SGH        SGH
     0      CTS          ATS         SGH        SGH        SGH        PTB        SGH        SGH        SGH
     0      CTS          ATS         SGH        SGH        SGH        SGH        SGH        SGH        SGH
